feedback_id,sentiment,theme_primary,need_type,severity,purchase_impact,review_status
F0061,3,other,emotional_complaint,S5,unknown,pending
F0062,2,connectivity,real_need,S3,unknown,pending
F0063,2,connectivity,unknown,S3,unknown,pending
F0064,3,feature_request,feature_request,S5,unknown,pending
F0065,2,after_sales,emotional_complaint,S4,unknown,pending
F0066,1,other,emotional_complaint,S4,unknown,pending
F0067,2,connectivity,real_need,S2,unknown,pending
F0068,1,connectivity,real_need,S3,influence,pending
F0069,1,connectivity,real_need,S4,blocker,pending
F0070,1,other,emotional_complaint,S5,unknown,approved
F0071,2,other,real_need,S3,unknown,pending
F0072,2,connectivity,unknown,S4,unknown,pending
F0073,2,firmware,emotional_complaint,S4,influence,pending
F0074,1,other,emotional_complaint,S5,unknown,approved
F0075,1,connectivity,real_need,S3,unknown,pending
F0076,3,feature_request,feature_request,S5,unknown,pending
F0077,2,feature_request,feature_request,S5,unknown,approved
F0078,2,other,unknown,S5,unknown,pending
F0079,2,compatibility,feature_request,S5,unknown,pending
F0080,2,data_accuracy,real_need,S3,unknown,pending
F0081,2,feature_request,feature_request,S5,influence,pending
F0082,2,connectivity,real_need,S3,unknown,approved
F0083,4,feature_request,feature_request,S5,unknown,approved
F0084,2,compatibility,feature_request,S5,influence,approved
F0085,4,other,unknown,S5,unknown,pending
F0086,2,compatibility,feature_request,S5,unknown,pending
F0087,4,other,unknown,S5,unknown,pending
F0088,3,feature_request,feature_request,S5,unknown,approved
F0089,2,connectivity,real_need,S4,unknown,pending
F0090,2,connectivity,real_need,S3,unknown,pending
F0091,1,connectivity,real_need,S4,influence,pending
F0092,2,firmware,real_need,S3,unknown,pending
F0093,1,connectivity,real_need,S2,blocker,pending
F0094,4,other,emotional_complaint,S5,no_impact,pending
F0095,3,feature_request,feature_request,S5,unknown,approved
F0096,2,connectivity,real_need,S3,unknown,approved
F0097,1,display_ux,real_need,S3,unknown,pending
F0098,2,feature_request,feature_request,S4,no_impact,pending
F0099,2,connectivity,real_need,S3,unknown,pending
F0100,5,other,unknown,S5,no_impact,approved
F0101,4,other,feature_request,S5,no_impact,pending
F0102,4,connectivity,emotional_complaint,S5,no_impact,pending
F0103,2,data_accuracy,real_need,S4,unknown,pending
F0104,2,connectivity,real_need,S3,unknown,approved
F0105,3,other,unknown,S5,unknown,pending
F0106,2,connectivity,real_need,S3,unknown,approved
F0107,2,display_ux,feature_request,S5,unknown,approved
F0108,2,connectivity,real_need,S3,unknown,approved
F0109,4,other,unknown,S5,no_impact,pending
F0110,2,firmware,real_need,S4,unknown,approved
F0111,1,price_value,real_need,S5,blocker,pending
F0112,1,display_ux,emotional_complaint,S4,unknown,approved
F0113,5,other,unknown,S5,no_impact,approved
F0114,2,connectivity,real_need,S3,unknown,approved
F0115,5,feature_request,unknown,S5,no_impact,pending
F0116,1,price_value,emotional_complaint,S5,unknown,pending
F0117,1,firmware,real_need,S3,influence,pending
F0118,1,display_ux,emotional_complaint,S4,influence,approved
F0119,2,connectivity,real_need,S3,unknown,approved
F0120,5,other,unknown,S5,no_impact,pending
F0121,5,other,unknown,S5,no_impact,pending
F0122,2,other,unknown,S5,unknown,pending
F0123,2,feature_request,feature_request,S4,influence,approved
F0124,1,connectivity,real_need,S3,influence,approved
F0125,2,display_ux,feature_request,S4,unknown,pending
F0126,2,connectivity,real_need,S2,unknown,approved
F0127,4,other,emotional_complaint,S5,no_impact,approved
F0128,1,display_ux,real_need,S3,influence,pending
F0129,4,feature_request,feature_request,S5,unknown,pending
F0130,2,feature_request,real_need,S4,unknown,pending
F0131,2,price_value,feature_request,S5,influence,pending
F0132,2,connectivity,real_need,S3,unknown,approved
F0133,5,other,emotional_complaint,S5,no_impact,pending
F0134,4,other,emotional_complaint,S5,no_impact,pending
F0135,2,data_accuracy,real_need,S3,unknown,approved
F0136,2,feature_request,feature_request,S5,influence,pending
F0137,2,compatibility,feature_request,S4,influence,pending
F0138,2,connectivity,real_need,S3,unknown,pending
F0139,2,connectivity,real_need,S3,unknown,pending
F0140,2,connectivity,real_need,S3,influence,approved
F0141,5,display_ux,unknown,S5,no_impact,pending
F0142,5,feature_request,feature_request,S5,no_impact,pending
F0143,1,other,emotional_complaint,S5,unknown,pending
F0144,2,navigation,real_need,S4,influence,pending
F0145,3,feature_request,feature_request,S5,no_impact,approved
F0146,4,navigation,unknown,S5,no_impact,pending
F0147,2,price_value,emotional_complaint,S5,influence,pending
F0148,5,navigation,unknown,S5,no_impact,pending
F0149,4,feature_request,feature_request,S5,unknown,approved
F0150,4,other,emotional_complaint,S5,no_impact,pending
F0151,5,feature_request,emotional_complaint,S5,unknown,pending
F0152,5,other,unknown,S5,no_impact,pending
F0153,2,feature_request,real_need,S3,blocker,pending
F0154,5,feature_request,unknown,S5,no_impact,pending
F0155,4,feature_request,operation_misunderstanding,S5,unknown,pending
F0156,5,other,unknown,S5,no_impact,pending
F0157,3,navigation,real_need,S4,unknown,approved
F0158,5,other,emotional_complaint,S5,no_impact,pending
F0159,1,price_value,feature_request,S5,blocker,pending
F0160,5,navigation,emotional_complaint,S5,no_impact,pending
F0161,3,feature_request,feature_request,S5,unknown,pending
F0162,5,feature_request,emotional_complaint,S5,no_impact,approved
F0163,2,navigation,real_need,S2,unknown,approved
F0164,2,after_sales,real_need,S4,unknown,pending
F0165,1,other,real_need,S3,influence,pending
F0166,2,navigation,real_need,S2,influence,pending
F0167,1,display_ux,operation_misunderstanding,S2,unknown,pending
F0168,5,feature_request,feature_request,S5,no_impact,approved
F0169,1,after_sales,real_need,S3,unknown,approved
F0170,1,other,real_need,S2,blocker,pending
F0171,1,feature_request,real_need,S3,influence,pending
F0172,5,feature_request,unknown,S5,unknown,pending
F0173,5,other,emotional_complaint,S5,no_impact,pending
F0174,1,after_sales,real_need,S3,unknown,approved
F0175,2,after_sales,feature_request,S4,influence,pending
F0176,3,price_value,feature_request,S5,influence,pending
F0177,3,feature_request,feature_request,S5,no_impact,pending
F0178,1,display_ux,emotional_complaint,S4,unknown,pending
F0179,3,feature_request,real_need,S4,influence,pending
F0180,2,connectivity,real_need,S3,unknown,approved
F0181,5,other,feature_request,S5,no_impact,pending
F0182,5,navigation,unknown,S5,no_impact,pending
F0183,1,connectivity,real_need,S2,unknown,approved
F0184,2,navigation,real_need,S4,unknown,approved
F0185,2,connectivity,real_need,S2,unknown,pending
F0186,3,other,unknown,S5,unknown,pending
F0187,5,navigation,unknown,S5,no_impact,approved
F0188,2,navigation,real_need,S2,influence,pending
F0189,4,navigation,feature_request,S5,unknown,approved
F0190,5,other,emotional_complaint,S5,no_impact,pending
F0191,2,connectivity,real_need,S3,unknown,pending
F0192,5,display_ux,unknown,S5,no_impact,pending
F0193,1,other,emotional_complaint,S4,unknown,pending
F0194,1,hardware,real_need,S3,influence,pending
F0195,1,connectivity,real_need,S2,influence,approved
F0196,2,connectivity,real_need,S2,unknown,approved
F0197,4,other,emotional_complaint,S5,unknown,pending
F0198,1,other,emotional_complaint,S4,unknown,pending
F0199,2,connectivity,real_need,S3,unknown,approved
F0200,2,connectivity,real_need,S3,influence,approved
F0201,2,connectivity,real_need,S3,unknown,approved
F0202,2,other,real_need,S4,unknown,pending
F0203,5,other,unknown,S5,no_impact,pending
F0204,2,connectivity,real_need,S3,influence,pending
F0205,2,navigation,real_need,S4,unknown,approved
F0206,5,other,emotional_complaint,S5,unknown,pending
F0207,2,connectivity,real_need,S3,influence,pending
F0208,4,navigation,feature_request,S5,no_impact,approved
F0209,2,other,emotional_complaint,S5,unknown,pending
F0210,2,firmware,real_need,S3,unknown,pending
F0211,2,feature_request,feature_request,S3,unknown,pending
F0212,5,other,emotional_complaint,S5,no_impact,pending
F0213,5,other,emotional_complaint,S5,no_impact,pending
F0214,2,compatibility,feature_request,S4,unknown,pending
F0215,2,connectivity,real_need,S3,unknown,approved
F0216,2,connectivity,real_need,S3,unknown,approved
F0217,2,compatibility,feature_request,S4,influence,pending
F0218,5,feature_request,feature_request,S5,no_impact,pending
F0219,1,connectivity,real_need,S3,unknown,pending
F0220,2,connectivity,real_need,S3,influence,approved
F0221,1,connectivity,emotional_complaint,S4,unknown,pending
F0222,5,other,unknown,S5,no_impact,pending
F0223,2,connectivity,real_need,S3,unknown,pending
F0224,2,feature_request,operation_misunderstanding,S4,unknown,pending
F0225,1,connectivity,real_need,S2,blocker,pending
F0226,2,display_ux,real_need,S5,unknown,pending
F0227,2,display_ux,feature_request,S5,unknown,approved
F0228,2,connectivity,real_need,S3,unknown,approved
F0229,2,connectivity,real_need,S3,influence,approved
F0230,2,connectivity,real_need,S3,influence,approved
F0231,5,feature_request,feature_request,S5,no_impact,approved
F0232,4,feature_request,feature_request,S5,influence,approved
F0233,2,connectivity,real_need,S3,influence,approved
F0234,5,navigation,emotional_complaint,S5,no_impact,pending
F0235,2,navigation,real_need,S4,influence,approved
F0236,2,after_sales,operation_misunderstanding,S4,influence,pending
F0237,5,feature_request,operation_misunderstanding,S5,no_impact,pending
F0238,2,display_ux,real_need,S4,unknown,pending
F0239,4,feature_request,feature_request,S5,no_impact,pending
F0240,2,feature_request,feature_request,S4,unknown,pending
