feedback_id,review_sentiment,review_theme_primary,review_need_type,review_severity,review_purchase_impact,review_confidence,conflict_fields,review_status,human_review_required
F0069,1,compatibility,real_need,S4,influence,0.82,severity;purchase_impact,conflict,True
F0070,1,other,emotional_complaint,S5,unknown,0.95,,agreed,False
F0071,2,firmware,real_need,S3,unknown,0.78,theme_primary;severity,conflict,True
F0072,2,connectivity,real_need,S3,unknown,0.75,need_type;severity,conflict,True
F0073,2,firmware,real_need,S3,influence,0.72,need_type;severity;purchase_impact,conflict,True
F0074,1,other,emotional_complaint,S5,unknown,0.85,,agreed,False
F0075,1,connectivity,real_need,S3,blocker,0.85,purchase_impact,conflict,False
F0076,4,data_accuracy,feature_request,S5,no_impact,0.88,sentiment;theme_primary;purchase_impact,conflict,True
F0077,2,feature_request,feature_request,S5,unknown,0.88,,agreed,False
F0078,3,other,unknown,S5,unknown,0.99,,agreed,False
F0079,2,compatibility,feature_request,S5,influence,0.92,theme_primary;purchase_impact,conflict,True
F0080,3,data_accuracy,feature_request,S4,unknown,0.62,theme_primary;need_type,conflict,True
F0081,2,compatibility,real_need,S4,blocker,0.9,sentiment;theme_primary;need_type;severity;purchase_impact,conflict,True
F0082,2,navigation,real_need,S4,influence,0.78,severity;purchase_impact,conflict,True
F0083,4,feature_request,feature_request,S5,no_impact,0.82,,agreed,False
F0084,2,compatibility,feature_request,S5,influence,0.92,purchase_impact,conflict,False
F0085,4,other,emotional_complaint,S5,unknown,0.3,need_type,conflict,True
F0086,2,compatibility,feature_request,S5,influence,0.82,purchase_impact,conflict,False
F0087,5,other,emotional_complaint,S5,no_impact,0.35,sentiment,conflict,True
F0088,2,feature_request,feature_request,S5,unknown,0.72,sentiment,conflict,False
F0089,3,connectivity,real_need,S3,unknown,0.78,sentiment,conflict,False
F0090,2,firmware,real_need,S3,unknown,0.82,theme_primary,conflict,True
F0091,1,connectivity,real_need,S2,unknown,0.88,severity;purchase_impact,conflict,True
F0092,2,firmware,real_need,S4,unknown,0.82,,agreed,False
F0093,1,connectivity,real_need,S2,unknown,0.88,severity,conflict,True
F0094,5,other,emotional_complaint,S5,no_impact,0.4,sentiment;purchase_impact,conflict,True
F0095,3,feature_request,feature_request,S5,no_impact,0.92,purchase_impact,conflict,False
F0096,2,connectivity,real_need,S3,influence,0.92,purchase_impact,conflict,False
F0097,1,connectivity,real_need,S2,influence,0.92,theme_primary;severity,conflict,True
F0098,3,feature_request,feature_request,S5,unknown,0.88,sentiment,conflict,False
F0099,2,connectivity,real_need,S3,unknown,0.72,,agreed,False
F0100,5,other,unknown,S5,no_impact,0.6,,agreed,True
F0101,5,other,unknown,S5,no_impact,0.92,theme_primary;need_type,conflict,True
F0102,5,compatibility,feature_request,S5,no_impact,0.7,theme_primary;need_type,conflict,True
F0103,2,compatibility,real_need,S4,influence,0.92,purchase_impact,conflict,False
F0104,2,connectivity,real_need,S3,unknown,0.72,severity,conflict,True
F0105,4,hardware,incidental_failure,S5,no_impact,0.82,need_type,conflict,True
F0106,2,connectivity,real_need,S3,influence,0.88,purchase_impact,conflict,False
F0107,3,display_ux,feature_request,S5,unknown,0.98,,agreed,False
F0108,1,firmware,real_need,S2,unknown,0.9,sentiment;theme_primary;severity,conflict,True
F0109,4,other,unknown,S5,no_impact,0.55,purchase_impact,conflict,True
F0110,2,firmware,real_need,S4,unknown,0.72,,agreed,False
F0111,1,price_value,real_need,S4,blocker,0.95,need_type;purchase_impact,conflict,True
F0112,1,display_ux,real_need,S4,unknown,0.88,need_type,conflict,True
F0113,5,other,unknown,S5,no_impact,0.92,need_type,conflict,True
F0114,2,connectivity,real_need,S3,unknown,0.72,,agreed,False
F0115,5,feature_request,feature_request,S5,no_impact,0.82,sentiment;theme_primary;need_type,conflict,True
F0116,1,price_value,emotional_complaint,S5,influence,0.6,purchase_impact,conflict,True
F0117,2,firmware,real_need,S4,influence,0.88,severity,conflict,True
F0118,1,other,emotional_complaint,S4,influence,0.55,theme_primary,conflict,True
F0119,2,connectivity,real_need,S3,unknown,0.88,,agreed,False
F0120,5,other,unknown,S5,no_impact,0.95,,agreed,False
F0121,5,data_accuracy,emotional_complaint,S5,no_impact,0.85,need_type,conflict,True
F0122,1,other,emotional_complaint,S5,unknown,0.78,sentiment,conflict,False
F0123,2,feature_request,feature_request,S4,influence,0.78,theme_primary,conflict,True
F0124,1,connectivity,real_need,S2,influence,0.82,severity;purchase_impact,conflict,True
F0125,2,feature_request,real_need,S4,no_impact,0.82,theme_primary;need_type;purchase_impact,conflict,True
F0126,2,connectivity,real_need,S2,blocker,0.82,sentiment;severity;purchase_impact,conflict,True
F0127,5,other,unknown,S5,no_impact,0.3,need_type,conflict,True
F0128,1,data_accuracy,real_need,S2,influence,0.88,sentiment,conflict,False
F0129,4,compatibility,feature_request,S5,influence,0.92,theme_primary;purchase_impact,conflict,True
F0130,3,other,unknown,S5,unknown,0.0,,failed,True
F0131,2,price_value,feature_request,S4,influence,0.82,sentiment;need_type;severity,conflict,True
F0132,2,connectivity,real_need,S3,unknown,0.82,,agreed,False
F0133,5,other,unknown,S5,no_impact,0.92,need_type,conflict,True
F0134,4,other,unknown,S5,unknown,0.3,sentiment;need_type,conflict,True
F0135,2,data_accuracy,real_need,S2,unknown,0.82,severity,conflict,True
F0136,2,feature_request,feature_request,S4,influence,0.88,,agreed,False
F0137,2,connectivity,real_need,S2,influence,0.88,severity,conflict,True
F0138,2,connectivity,real_need,S3,unknown,0.88,severity,conflict,True
F0139,2,firmware,real_need,S3,unknown,0.78,theme_primary,conflict,True
F0140,1,connectivity,real_need,S2,blocker,0.82,sentiment,conflict,False
F0141,5,other,unknown,S5,no_impact,0.9,purchase_impact,conflict,False
F0142,5,other,emotional_complaint,S5,no_impact,0.75,need_type,conflict,True
F0143,3,other,unknown,S5,unknown,0.0,,failed,True
F0144,2,navigation,real_need,S3,influence,0.85,severity,conflict,True
F0145,2,feature_request,feature_request,S5,no_impact,0.78,purchase_impact,conflict,False
F0146,5,feature_request,unknown,S5,no_impact,0.85,need_type,conflict,True
F0147,2,price_value,emotional_complaint,S5,influence,0.72,purchase_impact,conflict,False
F0148,5,navigation,unknown,S5,no_impact,0.92,sentiment;need_type,conflict,True
F0149,4,feature_request,feature_request,S5,influence,0.95,purchase_impact,conflict,False
F0150,5,other,emotional_complaint,S5,no_impact,0.9,theme_primary;need_type,conflict,True
F0151,5,navigation,unknown,S5,no_impact,0.92,theme_primary,conflict,True
F0152,5,feature_request,unknown,S5,no_impact,0.85,,agreed,False
F0153,2,feature_request,feature_request,S4,blocker,0.9,theme_primary;need_type,conflict,True
F0154,5,feature_request,feature_request,S5,no_impact,0.82,need_type;purchase_impact,conflict,True
F0155,5,navigation,unknown,S5,no_impact,0.9,sentiment;need_type;purchase_impact,conflict,True
F0156,5,other,unknown,S5,no_impact,0.9,theme_primary;need_type;purchase_impact,conflict,True
F0157,3,navigation,feature_request,S5,no_impact,0.72,need_type;purchase_impact,conflict,True
F0158,5,other,unknown,S5,no_impact,0.85,need_type,conflict,True
F0159,1,price_value,feature_request,S4,blocker,0.78,need_type;severity;purchase_impact,conflict,True
F0160,5,navigation,feature_request,S5,no_impact,0.85,theme_primary;need_type,conflict,True
F0161,3,feature_request,feature_request,S5,no_impact,0.95,purchase_impact,conflict,False
F0162,5,feature_request,emotional_complaint,S5,unknown,0.92,need_type,conflict,True
F0163,2,navigation,real_need,S2,blocker,0.7,purchase_impact,conflict,False
F0164,2,after_sales,real_need,S2,unknown,0.78,severity;purchase_impact,conflict,True
F0165,1,connectivity,real_need,S2,blocker,0.75,sentiment;theme_primary;severity;purchase_impact,conflict,True
F0166,2,navigation,real_need,S1,blocker,0.82,severity;purchase_impact,conflict,True
F0167,3,other,unknown,S5,unknown,0.0,,failed,True
F0168,5,navigation,feature_request,S5,no_impact,0.9,purchase_impact,conflict,False
F0169,1,after_sales,real_need,S2,blocker,0.9,severity;purchase_impact,conflict,True
F0170,1,firmware,real_need,S2,unknown,0.82,sentiment;theme_primary;purchase_impact,conflict,True
F0171,1,navigation,real_need,S2,unknown,0.88,theme_primary;need_type;severity,conflict,True
F0172,5,feature_request,feature_request,S5,no_impact,0.82,,agreed,False
F0173,5,other,emotional_complaint,S5,no_impact,0.6,purchase_impact,conflict,True
F0174,2,after_sales,real_need,S2,unknown,0.78,purchase_impact,conflict,False
F0175,2,after_sales,real_need,S3,unknown,0.82,theme_primary;need_type;severity;purchase_impact,conflict,True
F0176,2,price_value,real_need,S4,influence,0.72,sentiment;need_type;severity,conflict,True
F0177,2,other,feature_request,S5,unknown,0.82,sentiment;theme_primary,conflict,True
F0178,2,display_ux,real_need,S4,unknown,0.62,need_type;severity,conflict,True
F0179,3,other,unknown,S5,unknown,0.0,,failed,True
F0180,2,connectivity,real_need,S3,influence,0.82,purchase_impact,conflict,False
F0181,5,other,unknown,S5,no_impact,0.92,,agreed,False
F0182,5,navigation,real_need,S5,no_impact,0.92,need_type,conflict,True
F0183,1,connectivity,real_need,S2,unknown,0.9,severity;purchase_impact,conflict,True
F0184,2,navigation,real_need,S4,influence,0.88,sentiment;purchase_impact,conflict,False
F0185,2,connectivity,real_need,S2,blocker,0.92,purchase_impact,conflict,False
F0186,2,display_ux,real_need,S4,influence,0.78,need_type;severity,conflict,True
F0187,5,navigation,unknown,S5,no_impact,0.95,,agreed,False
F0188,2,navigation,real_need,S1,unknown,0.82,severity,conflict,True
F0189,5,navigation,real_need,S4,no_impact,0.78,sentiment;need_type;severity;purchase_impact,conflict,True
F0190,5,other,unknown,S5,no_impact,0.95,need_type,conflict,True
F0191,2,connectivity,real_need,S2,influence,0.92,sentiment;severity;purchase_impact,conflict,True
F0192,5,other,unknown,S5,no_impact,0.95,need_type,conflict,True
F0193,1,other,emotional_complaint,S4,unknown,0.4,,agreed,True
F0194,1,data_accuracy,real_need,S3,influence,0.85,severity;purchase_impact,conflict,True
F0195,1,connectivity,real_need,S2,blocker,0.95,purchase_impact,conflict,False
F0196,2,connectivity,real_need,S3,unknown,0.85,severity,conflict,True
F0197,4,other,unknown,S5,unknown,0.55,purchase_impact,conflict,True
F0198,3,other,unknown,S5,unknown,0.0,,failed,True
F0199,2,connectivity,real_need,S3,unknown,0.72,need_type;severity,conflict,True
F0200,2,connectivity,real_need,S3,influence,0.88,,agreed,False
F0201,2,connectivity,real_need,S3,blocker,0.85,severity;purchase_impact,conflict,True
F0202,2,other,real_need,S4,unknown,0.55,theme_primary,conflict,True
F0203,5,other,emotional_complaint,S5,no_impact,0.92,theme_primary;need_type,conflict,True
F0204,2,firmware,real_need,S2,blocker,0.92,purchase_impact,conflict,False
F0205,2,navigation,real_need,S4,influence,0.62,purchase_impact,conflict,True
F0206,5,other,unknown,S5,no_impact,0.6,need_type,conflict,True
F0207,2,compatibility,real_need,S4,blocker,0.78,theme_primary,conflict,True
F0208,4,navigation,feature_request,S5,no_impact,0.92,,agreed,False
F0209,2,other,emotional_complaint,S5,unknown,0.95,sentiment,conflict,False
