feedback_id,sentiment,theme_primary,need_type,severity,purchase_impact,review_status
F0133,5,other,emotional_complaint,S5,no_impact,pending
F0134,3,other,emotional_complaint,S5,unknown,pending
F0135,2,data_accuracy,real_need,S3,unknown,pending
F0136,2,feature_request,feature_request,S4,influence,approved
F0137,2,connectivity,real_need,S4,influence,pending
F0138,2,connectivity,real_need,S4,unknown,pending
F0139,2,connectivity,real_need,S3,unknown,pending
F0140,2,connectivity,real_need,S2,blocker,approved
F0141,5,other,unknown,S5,unknown,approved
F0142,5,other,unknown,S5,no_impact,pending
F0143,1,other,emotional_complaint,S5,unknown,pending
F0144,2,navigation,real_need,S4,influence,pending
F0145,2,feature_request,feature_request,S5,unknown,approved
F0146,5,feature_request,feature_request,S5,no_impact,pending
F0147,2,price_value,emotional_complaint,S5,unknown,approved
F0148,4,navigation,real_need,S5,no_impact,pending
F0149,4,feature_request,feature_request,S5,unknown,approved
F0150,5,feature_request,unknown,S5,no_impact,pending
F0151,5,feature_request,unknown,S5,no_impact,pending
F0152,5,feature_request,unknown,S5,no_impact,approved
F0153,2,display_ux,real_need,S4,blocker,pending
F0154,5,feature_request,emotional_complaint,S5,unknown,pending
F0155,4,navigation,feature_request,S5,influence,pending
F0156,5,feature_request,emotional_complaint,S5,influence,pending
F0157,3,navigation,operation_misunderstanding,S5,unknown,pending
F0158,5,other,emotional_complaint,S5,no_impact,pending
F0159,1,price_value,emotional_complaint,S5,no_impact,pending
F0160,5,other,unknown,S5,no_impact,pending
F0161,3,feature_request,feature_request,S5,unknown,approved
F0162,5,feature_request,unknown,S5,unknown,pending
F0163,2,navigation,real_need,S2,unknown,approved
F0164,2,after_sales,real_need,S3,influence,pending
F0165,2,other,real_need,S3,influence,pending
F0166,2,navigation,real_need,S2,unknown,pending
F0167,2,display_ux,operation_misunderstanding,S3,unknown,pending
F0168,5,navigation,feature_request,S5,unknown,approved
F0169,1,after_sales,real_need,S4,unknown,pending
F0170,2,navigation,real_need,S2,influence,pending
F0171,1,data_accuracy,emotional_complaint,S3,unknown,pending
F0172,5,feature_request,feature_request,S5,no_impact,approved
F0173,5,other,emotional_complaint,S5,unknown,pending
F0174,2,after_sales,real_need,S2,influence,approved
F0175,2,feature_request,feature_request,S4,influence,pending
F0176,3,price_value,feature_request,S5,influence,pending
F0177,3,feature_request,feature_request,S5,unknown,pending
F0178,2,display_ux,emotional_complaint,S5,unknown,pending
F0179,3,feature_request,real_need,S4,influence,pending
F0180,2,connectivity,real_need,S3,unknown,approved
F0181,5,other,unknown,S5,no_impact,approved
F0182,5,navigation,emotional_complaint,S5,no_impact,pending
F0183,1,connectivity,real_need,S3,influence,pending
F0184,3,navigation,real_need,S4,unknown,approved
F0185,2,connectivity,real_need,S2,unknown,approved
F0186,2,display_ux,feature_request,S5,influence,pending
F0187,5,navigation,unknown,S5,no_impact,approved
F0188,2,navigation,real_need,S4,unknown,pending
F0189,4,navigation,feature_request,S5,unknown,pending
F0190,5,other,emotional_complaint,S5,no_impact,pending
F0191,1,connectivity,real_need,S3,blocker,pending
F0192,5,other,emotional_complaint,S5,no_impact,pending
F0193,1,other,emotional_complaint,S4,unknown,pending
F0194,1,data_accuracy,real_need,S2,unknown,pending
F0195,1,connectivity,real_need,S2,influence,approved
F0196,2,connectivity,real_need,S2,unknown,pending
F0197,4,other,unknown,S5,no_impact,pending
F0198,1,other,emotional_complaint,S5,unknown,pending
F0199,2,connectivity,unknown,S4,unknown,pending
F0200,2,connectivity,real_need,S3,influence,approved
F0201,2,connectivity,real_need,S2,influence,pending
F0202,2,display_ux,real_need,S4,unknown,pending
F0203,5,display_ux,unknown,S5,no_impact,pending
F0204,2,firmware,real_need,S2,unknown,approved
F0205,2,navigation,real_need,S4,unknown,pending
F0206,5,other,emotional_complaint,S5,no_impact,pending
F0207,2,feature_request,real_need,S4,blocker,pending
F0208,4,navigation,feature_request,S5,no_impact,approved
F0209,1,other,emotional_complaint,S5,unknown,approved
