feedback_id,review_sentiment,review_theme_primary,review_need_type,review_severity,review_purchase_impact,review_confidence,conflict_fields,review_status,human_review_required
F0049,1,compatibility,real_need,S2,influence,0.92,theme_primary;severity;purchase_impact,conflict,True
F0050,2,connectivity,real_need,S2,unknown,0.85,theme_primary;need_type,conflict,True
F0051,5,other,unknown,S5,no_impact,0.6,need_type,conflict,True
F0052,2,connectivity,real_need,S3,unknown,0.78,severity,conflict,True
F0053,2,compatibility,real_need,S4,influence,0.85,need_type;severity,conflict,True
F0054,2,compatibility,real_need,S3,influence,0.82,sentiment;theme_primary;severity;purchase_impact,conflict,True
F0055,2,compatibility,feature_request,S4,unknown,0.82,theme_primary,conflict,True
F0056,3,other,unknown,S5,unknown,0.0,,failed,True
F0057,4,compatibility,feature_request,S5,no_impact,0.88,sentiment;theme_primary;purchase_impact,conflict,True
F0058,2,price_value,real_need,S3,influence,0.78,sentiment;need_type;severity,conflict,True
F0059,2,feature_request,feature_request,S4,unknown,0.75,severity,conflict,True
F0060,1,connectivity,real_need,S3,unknown,0.78,,agreed,False
F0061,2,compatibility,feature_request,S4,unknown,0.65,theme_primary;need_type;severity,conflict,True
F0062,1,after_sales,real_need,S3,influence,0.9,theme_primary,conflict,True
F0063,2,compatibility,real_need,S3,unknown,0.72,theme_primary;need_type,conflict,True
F0064,3,feature_request,feature_request,S5,unknown,0.55,,agreed,True
F0065,2,firmware,feature_request,S4,influence,0.78,theme_primary;need_type;severity;purchase_impact,conflict,True
F0066,2,after_sales,feature_request,S4,unknown,0.78,sentiment;need_type,conflict,True
F0067,2,compatibility,real_need,S4,unknown,0.72,sentiment;theme_primary;need_type;severity,conflict,True
F0068,1,compatibility,real_need,S3,blocker,0.92,theme_primary;need_type;severity;purchase_impact,conflict,True
F0069,1,compatibility,real_need,S3,blocker,0.82,purchase_impact,conflict,False
F0070,1,other,emotional_complaint,S5,unknown,0.95,,agreed,False
F0071,2,firmware,real_need,S2,unknown,0.82,theme_primary,conflict,True
F0072,2,connectivity,real_need,S2,unknown,0.78,need_type;severity,conflict,True
F0073,2,firmware,real_need,S3,unknown,0.75,need_type;severity;purchase_impact,conflict,True
F0074,1,other,emotional_complaint,S5,unknown,0.95,,agreed,False
F0075,2,compatibility,real_need,S3,unknown,0.75,sentiment;theme_primary;need_type,conflict,True
F0076,3,data_accuracy,feature_request,S5,unknown,0.72,sentiment;theme_primary,conflict,True
F0077,2,feature_request,feature_request,S5,unknown,0.9,,agreed,False
F0078,3,other,unknown,S5,unknown,0.1,,agreed,True
F0079,3,compatibility,feature_request,S5,unknown,0.88,sentiment,conflict,False
F0080,3,other,unknown,S5,unknown,0.0,,failed,True
F0081,1,compatibility,real_need,S3,influence,0.75,sentiment;need_type;severity,conflict,True
F0082,2,connectivity,real_need,S4,influence,0.75,severity;purchase_impact,conflict,True
F0083,4,feature_request,feature_request,S5,no_impact,0.85,,agreed,False
F0084,2,compatibility,feature_request,S5,influence,0.88,purchase_impact,conflict,False
F0085,4,other,emotional_complaint,S5,no_impact,0.85,,agreed,False
F0086,2,compatibility,real_need,S4,influence,0.85,theme_primary;need_type;severity;purchase_impact,conflict,True
F0087,5,other,emotional_complaint,S5,no_impact,0.75,sentiment;purchase_impact,conflict,False
F0088,3,feature_request,feature_request,S5,unknown,0.75,sentiment,conflict,False
F0089,2,connectivity,real_need,S3,unknown,0.82,,agreed,False
F0090,2,firmware,real_need,S3,unknown,0.78,theme_primary,conflict,True
